ID_Cliente,Churn,Genero,Idoso,Partner,Dependents,Meses_de_Contrato,PhoneService,MultipleLines,Servico_Internet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Tipo_Contrato,PaperlessBilling,Metodo_Pagamento,Cobranca_Mensal,Cobranca_Total,Contas_Diarias
0002-ORFBO,0,Female,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,2.1550591327201047
0003-MKNFE,0,Male,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,1.9678055190538764
0004-TLHLJ,1,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,2.4277266754270697
0011-IGKFF,1,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,3.219448094612352
0013-EXCHZ,1,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,2.7562417871222076
0013-MHZWF,0,Female,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,2.2798948751642576
0013-SMEOE,0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,3.6038107752956634
0014-BMAQU,0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,2.780880420499343
0015-UOCOJ,0,Female,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,1.583442838370565
0016-QLJIS,0,Female,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,2.971419185282523
0017-DINOC,0,Male,0,0,0,54,0,No phone service,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,1.4848883048620236
0017-IUDMW,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,3.8370565045992113
0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,2.265111695137976
0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,3.3278580814717476
0019-GFNTW,0,Female,0,0,0,56,0,No phone service,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1.4799605781865963
0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,3.145532194480946
0020-JDNXP,0,Female,0,1,1,34,0,No phone service,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,2.01215505913272
0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.3685939553219444
0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,2.059789750328515
0023-HGHWL,1,Male,1,0,0,1,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.8245729303547963
0023-UYUPN,0,Female,1,1,0,50,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,0.8278580814717477
0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,3.0913272010512483
0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,2.7513140604467803
0030-FNXPP,0,Female,0,0,0,3,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,0.6521024967148489
0031-PVLZI,1,Female,0,1,1,4,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,0.6685282522996058
0032-PGELS,1,Female,0,1,1,1,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0019710906701709
0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,3.4067017082785807
0040-HALCW,0,Male,0,1,1,54,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,0.6701708278580814
0042-JVWOJ,0,Male,0,0,0,26,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,0.6438896189224704
0042-RLHYP,0,Female,0,1,1,69,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,0.6471747700394218
0047-ZHDTW,0,Female,0,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,2.59526938239159
0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,2.9960578186596583
0048-PIHNL,0,Female,0,1,0,49,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,0.6718134034165572
0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,3.8042049934296975
0052-YNYOT,0,Female,0,0,0,67,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,0.6750985545335085
0056-EPFBG,0,Male,0,1,1,20,0,No phone service,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.2943495400788436
0057-QBUQH,0,Female,0,0,1,43,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,0.8245729303547963
0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.950065703022339
0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,3.112680683311432
0064-SUDOG,0,Female,0,1,1,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,0.6668856767411301
0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.48850197109067
0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.6179369250985545
0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.568988173455979
0071-NDAFP,0,Male,0,1,1,25,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,0.8377135348226018
0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.02365308804205
0076-LVEPS,0,Male,0,0,1,29,0,No phone service,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.4783180026281209
0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2.7973061760841
0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,1.6902102496714848
0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.260512483574244
0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.455321944809461
0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.0946123521681996
0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,2.669185282522996
0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.283508541392904
0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,3.007555847568988
0093-XWZFY,1,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.4329829172141917
0094-OIFMO,1,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,3.1208935611038107
0096-BXERS,0,Female,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,1.6540735873850196
0096-FCPUF,0,Male,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.11892247043364
0098-BOWSO,0,Male,0,0,0,27,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,0.6373193166885676
0100-DUVFC,0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,3.442838370565046
0103-CSITQ,0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,3.5939553219448097
0104-PPXDV,0,Male,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1.652431011826544
0106-GHRQR,0,Male,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.345597897503285
0106-UGRDO,0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,3.8107752956636003
0107-WESLM,1,Male,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,0.6521024967148489
0107-YHINA,1,Male,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,3.2769382391590014
0111-KLBQG,0,Male,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,3.0863994743758214
0112-QAWRZ,0,Male,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,2.9829172141918527
0112-QWPNC,1,Male,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,2.7710249671484886
0114-IGABW,0,Female,0,1,0,71,0,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,1.9136005256241786
0114-PEGZZ,0,Female,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,3.5331800262812085
0114-RSRRW,0,Female,0,1,0,10,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.6553876478318003
0115-TFERT,1,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,3.653088042049934
0117-LFRMW,1,Male,0,1,1,37,0,No phone service,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.3206307490144547
0118-JPNOY,0,Female,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.818659658344284
0120-YZLQA,0,Male,0,0,0,71,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,1355.1,0.6537450722733245
0121-SNYRK,0,Male,0,0,0,50,0,No phone service,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,1.1629434954007885
